"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
0,"But remember, please, the Law by which we live, We are not built to comprehend a lie ...",1.3,-1,1,0
1,"--Rudyard Kipling, ""The Secret of the Machines""",0,0,0,0
2,"CHAPTER 1",0,0,0,0
3,"It was religious yearning granted hope, it was the holy grail of science.",1.25,1,4,3
4,"Our ambitions ran high and low--for a creation myth made real, for a monstrous act of self-love.",-0.75,-1,2,2
5,"As soon as it was feasible, we had no choice but to follow our desires and hang the consequences.",-0.25,0,-1,1
6,"In loftiest terms, we aimed to escape our mortality, confront or even replace the Godhead with a perfect self.",-0.6,0,2,0
7,"More practically, we intended to devise an improved, more modern version of ourselves and exult in the joy of invention, the thrill of mastery.",3,6,5,5
8,"In the autumn of the twentieth century, it came about at last, the first step towards the fulfilment of an ancient dream, the beginning of the long lesson we would teach ourselves that however complicated we were, however faulty and difficult to describe in even our simplest actions and modes of being, we could be imitated and bettered.",0.95,-2,0,-2
9,"And I was there as a young man, an early and eager adopter in that chilly dawn.",1.15,1,2,2
10,"But artificial humans were a cliche long before they arrived, so when they did, they seemed to some a disappointment.",-1.5,-2,-2,-1
11,"The imagination, fleeter than history, than technological advance, had already rehearsed this future in books, then films and TV dramas, as if human actors, walking with a certain glazed look, phony head movements, some stiffness in the lower back, could prepare us for life with our cousins from the future.",0.7,-2,1,-1
12,"I was among the optimists, blessed by unexpected funds following my mother's death and the sale of the family home, which turned out to be on a valuable development site.",0.5,-1,-2,1
13,"The first truly viable manufactured human with plausible intelligence and looks, believable motion and shifts of expression, went on sale the week before the Falklands Task Force set off on its hopeless mission.",0.5,1,-2,0
14,"Adam cost PS86,000.",0,0,0,0
15,"I brought him home in a hired van to my unpleasant flat in north Clapham.",-0.75,-1,-2,-1
16,"I would made a reckless decision, but I was encouraged by reports that Sir Alan Turing, war hero and presiding genius of the digital age, had taken delivery of the same model.",2.05,1,0,3
17,"Fie probably wanted to have his lab take it apart to examine its workings fully.",0.4,0,0,1
18,"Twelve of this first edition were called Adam, thirteen were called Eve.",0,0,0,0
19,"Corny, everyone agreed, but commercial.",0.5,0,1,1
20,"Notions of biological race being scientifically discredited, the twenty-five were designed to cover a range of ethnicities.",-0.8,0,-2,0
