,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang
0,0,Under certain circumstances there are few hours in life more agreeable than the hour dedicated to the ceremony known as afternoon tea.,0.9985120892524719,1.3988133668899536,2.525048792362213,0.7137356400489807,0.6718323826789856,0.9874703884124756,-1,-0.47890472412109375
1,1,"There are circumstances in which, whether you partake of the tea or not--some people of course never do,--the situation is in itself delightful.",0.9985091090202332,3.3968012928962708,3.4763139188289642,0.9997687935829163,1.6281086802482605,0.9988193511962891,1,1.7513006329536438
2,2,Those that have in mind in beginning to unfold this simple history offered an admirable setting to an innocent pastime.,0.9987879395484924,3.518859386444092,4.5628915429115295,0.9994045495986938,1.9651920199394226,0.9991894960403442,1,1.7763314247131348
3,3,"The implements of the little feast had been disposed upon the lawn of an old English country-house, in what should call the perfect middle of a splendid summer afternoon.",0.993220329284668,3.3105372190475464,4.438567280769348,0.999622106552124,1.9278802275657654,0.9897270202636719,1,1.4051131308078766
4,4,"Part of the afternoon had waned, but much of it was left, and what was left was of the finest and rarest quality.",0.99859219789505,4.568719863891602,3.3741918206214905,0.9821465611457825,1.589796781539917,0.9980510473251343,-1,1.3899720907211304
5,5,"Real dusk would not arrive for many hours; but the flood of summer light had begun to ebb, the air had grown mellow, the shadows were long upon the smooth, dense turf.",0.9967653155326843,2.6048072576522827,3.328162759542465,-0.9378753304481506,-0.49268755316734314,0.9889221787452698,-1,1.3899415731430054
6,6,"They lengthened slowly, however, and the scene expressed that sense of leisure still to come which is perhaps the chief source of one s enjoyment of such a scene at such an hour.",0.9988362789154053,2.4000551104545593,2.4293710589408875,0.9931022524833679,1.8133424520492554,0.9987682700157166,1,1.69141685962677
7,7,From five o clock to eight is on certain occasions a little eternity; but on such an occasion as this the interval could be only an eternity of pleasure.,0.9986357688903809,3.728055238723755,2.404309242963791,-0.7214027047157288,0.7405804395675659,0.9915639162063599,1,0.5159587264060974
8,8,"The persons concerned in it were taking their pleasure quietly, and they were not of the sex which is supposed to furnish the regular votaries of the ceremony have mentioned.",0.9905198216438293,0.7127574682235718,2.2946209609508514,-0.9840441346168518,0.5538782477378845,0.9921289682388306,1,-0.4925134479999542
9,9,"The shadows on the perfect lawn were straight and angular; they were the shadows of an old man sitting in a deep wicker-chair near the low table on which the tea had been served, and of two younger men strolling to and fro, in desultory talk, in front of him.",0.9969091415405273,1.5268803238868713,3.3695715069770813,-0.655296802520752,0.8564046025276184,-0.7283014059066772,-1,-0.40737515687942505
10,10,"The old man had his cup in his hand; it was an unusually large cup, of a different pattern from the rest of the set and painted in brilliant colours.",0.9980732202529907,3.3510757088661194,4.470711410045624,0.9997230172157288,1.861624002456665,0.9983603954315186,1,-0.49224725365638733
